,No.,Title,Artist(s),Year,spo_name,explicit,images,release_date,preview_url
0,1,"""Levitating""",Dua Lipa,2021,Levitating (feat. DaBaby),False,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,2020-03-27,https://p.scdn.co/mp3-preview/baa8859b39dc78685642e1adfe60ec5ef8b3a5cf?cid=914d599079cf414bb7441d9c09e8dd1d
1,2,"""Save Your Tears""",The Weeknd and Ariana Grande,2021,Save Your Tears,True,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,
2,3,"""Blinding Lights""",The Weeknd,2021,Blinding Lights,False,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,
3,4,"""Mood""",24kGoldn featuring Iann Dior,2021,Mood (feat. iann dior),True,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5,2021-03-26,https://p.scdn.co/mp3-preview/9f4d2e78c5f0ebb373b28f702597b4f344a8310c?cid=914d599079cf414bb7441d9c09e8dd1d
4,5,"""Good 4 U""",Olivia Rodrigo,2021,good 4 u,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
5,6,"""Kiss Me More""",Doja Cat featuring SZA,2021,Kiss Me More (feat. SZA),True,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,2021-06-25,https://p.scdn.co/mp3-preview/981b61d494e16ae618bbbc1aaafa62a8066530fa?cid=914d599079cf414bb7441d9c09e8dd1d
6,7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),2021,Leave The Door Open,False,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86,2021-11-11,https://p.scdn.co/mp3-preview/6e905ca8273bd2c5464c35d0ce10da306a86b11b?cid=914d599079cf414bb7441d9c09e8dd1d
7,8,"""Drivers License""",Olivia Rodrigo,2021,drivers license,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
8,9,"""Montero (Call Me by Your Name)""",Lil Nas X,2021,MONTERO (Call Me By Your Name),True,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,2021-09-17,https://p.scdn.co/mp3-preview/a25aff06d2a2f2cf4c5d8d9a7e45ce50789cab50?cid=914d599079cf414bb7441d9c09e8dd1d
9,10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,2021,Peaches (feat. Daniel Caesar & Giveon),True,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,2021-03-19,
10,11,"""Butter""",BTS,2021,Butter,False,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,2021-06-04,https://p.scdn.co/mp3-preview/e93bc746bea9688b7b1ac5648cd678f74a0d1933?cid=914d599079cf414bb7441d9c09e8dd1d
11,12,"""Stay""",The Kid Laroi and Justin Bieber,2021,STAY (with Justin Bieber),True,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,2021-07-09,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=914d599079cf414bb7441d9c09e8dd1d
12,13,"""Deja Vu""",Olivia Rodrigo,2021,deja vu,True,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
13,14,"""Positions""",Ariana Grande,2021,positions,True,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,2020-10-30,
14,15,"""Bad Habits""",Ed Sheeran,2021,Bad Habits,False,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,2021-10-29,https://p.scdn.co/mp3-preview/043f28a973add316f01a36a68f870f588d1dbb8e?cid=914d599079cf414bb7441d9c09e8dd1d
15,16,"""Heat Waves""",Glass Animals,2021,Heat Waves,False,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,2020-08-07,
16,17,"""Without You""",The Kid Laroi,2021,WITHOUT YOU,True,https://i.scdn.co/image/ab67616d0000b273df16d539f508603bfb1efe02,2020-11-06,https://p.scdn.co/mp3-preview/7e8f0d1240399e69dd63202d80e85e85c015d84f?cid=914d599079cf414bb7441d9c09e8dd1d
17,18,"""Forever After All""",Luke Combs,2021,Forever After All,False,https://i.scdn.co/image/ab67616d0000b273433fa8ed8901569b606a715e,2020-10-23,https://p.scdn.co/mp3-preview/f567554645060dc7b98d805c539ffd91d9f0f060?cid=914d599079cf414bb7441d9c09e8dd1d
18,19,"""Go Crazy""",Chris Brown and Young Thug,2021,Go Crazy,True,https://i.scdn.co/image/ab67616d0000b27363e0ddbb488d0eeec0e738fc,2020-05-08,https://p.scdn.co/mp3-preview/e69888b10384542c235064370c0b575918cabb87?cid=914d599079cf414bb7441d9c09e8dd1d
19,20,"""Astronaut in the Ocean""",Masked Wolf,2021,Astronaut In The Ocean,True,https://i.scdn.co/image/ab67616d0000b27397fdd7cf1b14d78c6a7fb17f,2021-01-06,https://p.scdn.co/mp3-preview/25243b032639be974f9ba0cc5b7d3010bd7fe371?cid=914d599079cf414bb7441d9c09e8dd1d
20,21,"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,2021,34+35,True,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,2020-10-30,
21,22,"""What You Know Bout Love""",Pop Smoke,2021,What You Know Bout Love,True,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,2020-07-03,
22,23,"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,2021,my ex's best friend (with blackbear),True,https://i.scdn.co/image/ab67616d0000b273d4d4929a3a86fe2f9fadbd42,2020-09-25,
23,24,"""Industry Baby""",Lil Nas X and Jack Harlow,2021,INDUSTRY BABY (feat. Jack Harlow),True,https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf,2021-07-23,https://p.scdn.co/mp3-preview/c1ab4a1b3403a8f6ac578ab5081f295751e9f1ca?cid=914d599079cf414bb7441d9c09e8dd1d
24,25,"""Therefore I Am""",Billie Eilish,2021,Therefore I Am,False,https://i.scdn.co/image/ab67616d0000b2737a152619a7b55bc621d07901,2020-11-12,
25,26,"""Up""",Cardi B,2021,Up,True,https://i.scdn.co/image/ab67616d0000b273d619b8baab0619516bb53804,2021-02-05,https://p.scdn.co/mp3-preview/c71424ce4db24cfba2fd49f56877242a2fb7a1e4?cid=914d599079cf414bb7441d9c09e8dd1d
26,27,"""Fancy Like""",Walker Hayes,2021,Fancy Like,False,https://i.scdn.co/image/ab67616d0000b273cc1ed62132516aabf6ef8751,2022-01-21,https://p.scdn.co/mp3-preview/61e7e539cd3cf7ec562bd07e1401b73da4ad10eb?cid=914d599079cf414bb7441d9c09e8dd1d
27,28,"""Dakiti""",Bad Bunny and Jhay Cortez,2021,DÁKITI,True,https://i.scdn.co/image/ab67616d0000b27334c8199b0b3b3fb42b8a98a8,2020-10-30,https://p.scdn.co/mp3-preview/4252db9634fc9143dafbcfc298e5957195d3bb32?cid=914d599079cf414bb7441d9c09e8dd1d
28,29,"""Best Friend""",Saweetie featuring Doja Cat,2021,Best Friend,True,https://i.scdn.co/image/ab67616d0000b27333a6b45fa8354efe37633964,2017-01-25,https://p.scdn.co/mp3-preview/578681b7303415b5abdc5bfe6e01d086ce15308b?cid=914d599079cf414bb7441d9c09e8dd1d
29,30,"""Rapstar""",Polo G,2021,RAPSTAR,True,https://i.scdn.co/image/ab67616d0000b273175715816616d0fb317fabeb,2021-04-09,https://p.scdn.co/mp3-preview/d4d0db0533c2452c33cf9b8b03f736113736d699?cid=914d599079cf414bb7441d9c09e8dd1d
30,31,"""Heartbreak Anniversary""",Giveon,2021,Heartbreak Anniversary,False,https://i.scdn.co/image/ab67616d0000b27318ff322fcdd47c9400872da6,2020-03-27,https://p.scdn.co/mp3-preview/fb4651d307d4692bbbfbbad3a13c4a506a2a0976?cid=914d599079cf414bb7441d9c09e8dd1d
31,32,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,2021,For The Night (feat. Lil Baby & DaBaby),True,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,2020-07-03,
32,33,"""Calling My Phone""",Lil Tjay and 6lack,2021,Calling My Phone,True,https://i.scdn.co/image/ab67616d0000b2735af0305457ff290e06dcc4c2,2021-04-02,https://p.scdn.co/mp3-preview/379d1239f67ceb2b40e333960c76fb63cd13dca2?cid=914d599079cf414bb7441d9c09e8dd1d
33,34,"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,2021,Beautiful Mistakes (feat. Megan Thee Stallion),False,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,2021-06-11,
34,35,"""Holy""",Justin Bieber featuring Chance the Rapper,2021,Holy,True,https://i.scdn.co/image/ab67616d0000b273f0c4704fcc760ef914d6ec98,2022-04-01,https://p.scdn.co/mp3-preview/3dfd8c2c4540635a9f65627c818442a57cc3db95?cid=914d599079cf414bb7441d9c09e8dd1d
35,36,"""On Me""",Lil Baby,2021,On Me,True,https://i.scdn.co/image/ab67616d0000b2738de3ce24866dcc8ffddbebac,2020-12-04,
36,37,"""You Broke Me First""",Tate McRae,2021,you broke me first,False,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4,2020-04-17,https://p.scdn.co/mp3-preview/3c045393315dee8fc3e2dc43043c1b28cac62ab4?cid=914d599079cf414bb7441d9c09e8dd1d
37,38,"""Traitor""",Olivia Rodrigo,2021,traitor,False,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,2021-05-21,
38,39,"""Back in Blood""",Pooh Shiesty featuring Lil Durk,2021,Back In Blood (feat. Lil Durk),True,https://i.scdn.co/image/ab67616d0000b27332c5d1e207364562fe2160b7,2020-11-06,https://p.scdn.co/mp3-preview/02aa9b01948707f910c17962f475d5e8edfff9d8?cid=914d599079cf414bb7441d9c09e8dd1d
39,40,"""I Hope""",Gabby Barrett featuring Charlie Puth,2021,I Hope,False,https://i.scdn.co/image/ab67616d0000b27366ffb23d13b04824e04f30d2,2020-06-19,https://p.scdn.co/mp3-preview/5f36f16dc999ef33b611ac7e9ea71ab18d5224ba?cid=914d599079cf414bb7441d9c09e8dd1d
40,41,"""Dynamite""",BTS,2021,Dynamite,False,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5,2020-11-20,https://p.scdn.co/mp3-preview/d8777ce6505aa52625472591ca898146bf3b0914?cid=914d599079cf414bb7441d9c09e8dd1d
41,42,"""Wockesha""",Moneybagg Yo,2021,Wockesha,True,https://i.scdn.co/image/ab67616d0000b273b9ba23c2a9edf6f4b7e48bed,2021-04-23,
42,43,"""You Right""",Doja Cat and the Weeknd,2021,You Right,True,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,2021-06-25,https://p.scdn.co/mp3-preview/4aa6c23f93a15bb342d9928d5345ed426c60d7f1?cid=914d599079cf414bb7441d9c09e8dd1d
43,44,"""Beat Box""",SpotemGottem featuring Pooh Shiesty or DaBaby,2021,Beat Box 4 (with NLE Choppa),True,https://i.scdn.co/image/ab67616d0000b27313121b31cce32ae5e459840f,2021-04-09,
44,45,"""Laugh Now Cry Later""",Drake featuring Lil Durk,2021,Laugh Now Cry Later (feat. Lil Durk),True,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef,2020-08-14,
45,46,"""Need to Know""",Doja Cat,2021,Need to Know,True,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,2021-06-25,https://p.scdn.co/mp3-preview/c707247354131537f5d7b0935f38db827711e76c?cid=914d599079cf414bb7441d9c09e8dd1d
46,47,"""Wants and Needs""",Drake featuring Lil Baby,2021,Wants and Needs (feat. Lil Baby),True,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,2021-03-05,
47,48,"""Way 2 Sexy""",Drake featuring Future and Young Thug,2021,Way 2 Sexy (with Future & Young Thug),True,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,2021-09-03,
48,49,"""Telepatía""",Kali Uchis,2021,telepatía,False,https://i.scdn.co/image/ab67616d0000b273044a5466dac00f7b3c570b99,2020-12-04,
49,50,"""Whoopty""",CJ,2021,Whoopty,True,https://i.scdn.co/image/ab67616d0000b2735038c2513329a3123b62923d,2020-08-20,https://p.scdn.co/mp3-preview/48933b2b851c4a8ad6e11c371f40e00002bdeea6?cid=914d599079cf414bb7441d9c09e8dd1d
50,51,"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,2021,Lemonade,True,https://i.scdn.co/image/ab67616d0000b273d46a8fffbe6c8630784f04da,2020-08-14,
51,52,"""Good Days""",SZA,2021,Good Days,True,https://i.scdn.co/image/ab67616d0000b2733097b1375ab17ae5bf302a0a,2020-12-25,https://p.scdn.co/mp3-preview/075a042e6e8dda12eb71427bf9f136555ece2424?cid=914d599079cf414bb7441d9c09e8dd1d
52,53,"""Starting Over""",Chris Stapleton,2021,Starting Over,False,https://i.scdn.co/image/ab67616d0000b2739408342067e2ff50d69a3c98,2020-11-13,
53,54,"""Body""",Megan Thee Stallion,2021,Body,True,https://i.scdn.co/image/ab67616d0000b273da256972582b455d46985ba9,2020-11-20,https://p.scdn.co/mp3-preview/4e6581a35a8005d4c5028f88dda7d2f921faca41?cid=914d599079cf414bb7441d9c09e8dd1d
54,55,"""Willow""",Taylor Swift,2021,willow,False,https://i.scdn.co/image/ab67616d0000b273727e4a8f05a1be549016e688,2022-04-06,
55,56,"""Bang!""",AJR,2021,Bang!,False,https://i.scdn.co/image/ab67616d0000b273fc9511f26808c1eee73b414d,2021-03-26,https://p.scdn.co/mp3-preview/22fb29d8a7226a4b674afe3af000c4c1fb916a79?cid=914d599079cf414bb7441d9c09e8dd1d
56,57,"""Better Together""",Luke Combs,2021,Better Together,False,https://i.scdn.co/image/ab67616d0000b273429d8ec28f865acf2a927c2d,2019-11-08,https://p.scdn.co/mp3-preview/a17eb043e2efec641b21a6f58a44a980c281c4a5?cid=914d599079cf414bb7441d9c09e8dd1d
57,58,"""You're Mines Still""",Yung Bleu featuring Drake,2021,You're Mines Still,True,https://i.scdn.co/image/ab67616d0000b2738b4260c3139758feba77d17b,2020-10-16,https://p.scdn.co/mp3-preview/9a253af850a0eebc185a82210ef22fa55284a79c?cid=914d599079cf414bb7441d9c09e8dd1d
58,59,"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,2021,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),True,https://i.scdn.co/image/ab67616d0000b273dcd4d70294f17175991ba1bb,2021-04-30,https://p.scdn.co/mp3-preview/a5c23fffc560e9a9661279daddf02fa3d8d694ff?cid=914d599079cf414bb7441d9c09e8dd1d
59,60,"""Essence""",Wizkid featuring Justin Bieber and Tems,2021,Essence (feat. Tems),False,https://i.scdn.co/image/ab67616d0000b27390e89e3afc4441bf36720a73,2020-10-29,https://p.scdn.co/mp3-preview/d35746128e27538296e7f95c61d85e91bcec7c77?cid=914d599079cf414bb7441d9c09e8dd1d
60,61,"""Chasing After You""",Ryan Hurd and Maren Morris,2021,Chasing After You (with Maren Morris),False,https://i.scdn.co/image/ab67616d0000b27315d7ded0dc48a1c9ee9183e4,2021-02-12,https://p.scdn.co/mp3-preview/eb3f1aaad64e6eb91f32dfea58789a02083e72b4?cid=914d599079cf414bb7441d9c09e8dd1d
61,62,"""The Good Ones""",Gabby Barrett,2021,The Good Ones,False,https://i.scdn.co/image/ab67616d0000b27366ffb23d13b04824e04f30d2,2020-06-19,https://p.scdn.co/mp3-preview/2cdfe8f2b717bd54aa40dd8b8066b66c4770b9c7?cid=914d599079cf414bb7441d9c09e8dd1d
62,63,"""Leave Before You Love Me""",Marshmello and Jonas Brothers,2021,Leave Before You Love Me (with Jonas Brothers),False,https://i.scdn.co/image/ab67616d0000b273ae40468931087f78919b86ce,2021-05-21,
63,64,"""Glad You Exist""",Dan + Shay,2021,Glad You Exist,False,https://i.scdn.co/image/ab67616d0000b273c66d80518c514a9c8232393f,2021-02-05,https://p.scdn.co/mp3-preview/f6cb011d835e5a0df7b0eb72f7d5fe7df5a525fe?cid=914d599079cf414bb7441d9c09e8dd1d
64,65,"""Lonely""",Justin Bieber and Benny Blanco,2021,Lonely (with Lil Wayne),True,https://i.scdn.co/image/ab67616d0000b27322ff72d81de2ce4398322255,2021-09-09,
65,66,"""Beggin'""",Måneskin,2021,Beggin',False,https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045,2017-12-08,https://p.scdn.co/mp3-preview/49cf31ccb79722050016ea70c140a4df38211c61?cid=914d599079cf414bb7441d9c09e8dd1d
66,67,"""Streets""",Doja Cat,2021,Streets,True,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,2019-11-07,https://p.scdn.co/mp3-preview/1981f558e6a08cf5f2ea2723557c679ca66dfd8c?cid=914d599079cf414bb7441d9c09e8dd1d
67,68,"""What's Next""",Drake,2021,What's Next,False,https://i.scdn.co/image/ab67616d0000b273aeb93e49c14980e947fdda58,2021-03-05,
68,69,"""Famous Friends""",Chris Young and Kane Brown,2021,Famous Friends,False,https://i.scdn.co/image/ab67616d0000b2734394ca9fbd7a2ab0e28f560d,2020-11-20,https://p.scdn.co/mp3-preview/b62b1af57d3dcaac6063c710382683ac49ba320c?cid=914d599079cf414bb7441d9c09e8dd1d
69,70,"""Lil Bit""",Nelly and Florida Georgia Line,2021,Lil Bit,True,https://i.scdn.co/image/ab67616d0000b27395a25a5b79a59eba1c8f93ee,2020-10-23,https://p.scdn.co/mp3-preview/5ba199f38641a7b5187f2df5b3343eba26d48bc2?cid=914d599079cf414bb7441d9c09e8dd1d
70,71,"""Thot Shit""",Megan Thee Stallion,2021,Thot Shit,True,https://i.scdn.co/image/ab67616d0000b273bc4f7b30f8bbbb9af57ea212,2021-06-11,https://p.scdn.co/mp3-preview/9b93bf5abda3501c4abe80cdc30c1f3ec9b9a29c?cid=914d599079cf414bb7441d9c09e8dd1d
71,72,"""Late at Night""",Roddy Ricch,2021,late at night,True,https://i.scdn.co/image/ab67616d0000b27368d52e5f5058e58ce3e62c77,2021-06-04,https://p.scdn.co/mp3-preview/1ce02126acbc6d379d2061318b5cb00543eac771?cid=914d599079cf414bb7441d9c09e8dd1d
72,73,"""Kings & Queens""",Ava Max,2021,Kings & Queens,False,https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7,2020-09-18,https://p.scdn.co/mp3-preview/3d1b7c2dd0fa6109d374344a82e204e2df14da62?cid=914d599079cf414bb7441d9c09e8dd1d
73,74,"""Anyone""",Justin Bieber,2021,Anyone,False,https://i.scdn.co/image/ab67616d0000b2733bbec671f22ef564280319da,2022-04-05,
74,75,"""Track Star""",Mooski,2021,Track Star,True,https://i.scdn.co/image/ab67616d0000b273e4ba2e0371d692d957568407,2021-02-09,
75,76,"""Time Today""",Moneybagg Yo,2021,Time Today,True,https://i.scdn.co/image/ab67616d0000b273b9ba23c2a9edf6f4b7e48bed,2021-04-23,
76,77,"""Cry Baby""",Megan Thee Stallion featuring DaBaby,2021,Cry Baby (feat. DaBaby),True,https://i.scdn.co/image/ab67616d0000b273da256972582b455d46985ba9,2020-11-20,https://p.scdn.co/mp3-preview/b828e459049fbd461bd088e3dea433bd877becdc?cid=914d599079cf414bb7441d9c09e8dd1d
77,78,"""All I Want for Christmas Is You""",Mariah Carey,2021,All I Want for Christmas Is You,False,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,1994-10-28,https://p.scdn.co/mp3-preview/0d3f660241b04b1e95ae43decced213696114ad0?cid=914d599079cf414bb7441d9c09e8dd1d
78,79,"""No More Parties""",Coi Leray featuring Lil Durk,2021,No More Parties In LA,True,https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4,2016-06-10,
79,80,"""What's Your Country Song""",Thomas Rhett,2021,What’s Your Country Song,False,https://i.scdn.co/image/ab67616d0000b273bcd424e2d975ee2e79820ccf,2021-04-30,
80,81,"""One Too Many""",Keith Urban and Pink,2021,One Too Many,False,https://i.scdn.co/image/ab67616d0000b273f2a428f109f825ec22c64656,2020-09-16,
81,82,"""Arcade""",Duncan Laurence,2021,Arcade,False,https://i.scdn.co/image/ab67616d0000b273a954408e456d4d9d410f448b,2019-03-07,
82,83,"""Yonaguni""",Bad Bunny,2021,Yonaguni,True,https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9,2021-06-04,https://p.scdn.co/mp3-preview/6db656eb4560c68f2502ee9ce9a2837da7ba0000?cid=914d599079cf414bb7441d9c09e8dd1d
83,84,"""Good Time""",Niko Moon,2021,GOOD TIME,False,https://i.scdn.co/image/ab67616d0000b2736293c2d1a9bf6a1b5baf5eca,2021-08-27,https://p.scdn.co/mp3-preview/8c0559319e730c250cf3467950a8498c985af2b7?cid=914d599079cf414bb7441d9c09e8dd1d
84,85,"""If I Didn't Love You""",Jason Aldean and Carrie Underwood,2021,If I Didn't Love You,False,https://i.scdn.co/image/ab67616d0000b273966a63131e7b82b4669aaafa,2021-11-12,https://p.scdn.co/mp3-preview/d617d607fea0325939407bea70181d2d480ece09?cid=914d599079cf414bb7441d9c09e8dd1d
85,86,"""Knife Talk""",Drake featuring 21 Savage and Project Pat,2021,Knife Talk (with 21 Savage ft. Project Pat),True,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,2021-09-03,
86,87,"""POV""",Ariana Grande,2021,pov,False,https://i.scdn.co/image/ab67616d0000b2735ef878a782c987d38d82b605,2020-10-30,
87,88,"""Just the Way""",Parmalee and Blanco Brown,2021,Just the Way You Are,False,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,2010-10-05,https://p.scdn.co/mp3-preview/fe45db93f0ed11c07cb0db0d6d422a8d80617df8?cid=914d599079cf414bb7441d9c09e8dd1d
88,89,"""Take My Breath""",The Weeknd,2021,Take My Breath,False,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,2022-01-06,
89,90,"""We're Good""",Dua Lipa,2021,We're Good,False,https://i.scdn.co/image/ab67616d0000b273ef12a4e8cdb297684e197cc4,2021-02-11,https://p.scdn.co/mp3-preview/ae4c47c8f0f209398926de2f589d55d9f8af5f96?cid=914d599079cf414bb7441d9c09e8dd1d
90,91,"""Hell of a View""",Eric Church,2021,Hell Of A View,False,https://i.scdn.co/image/ab67616d0000b2732ca9baed899738a0c79b2e69,2021-04-23,
91,92,"""Rockin' Around the Christmas Tree""",Brenda Lee,2021,Rockin' Around The Christmas Tree,False,https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3,1964-10-19,
92,93,"""Put Your Records On""",Ritt Momney,2021,Put Your Records On,False,https://i.scdn.co/image/ab67616d0000b273d52d8eb3be188231e120dbbd,2020-04-24,https://p.scdn.co/mp3-preview/710f3262d48478dce516f8b71839717b80f02454?cid=914d599079cf414bb7441d9c09e8dd1d
93,94,"""Happier Than Ever""",Billie Eilish,2021,Happier Than Ever,True,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,2021-07-30,
94,95,"""Single Saturday Night""",Cole Swindell,2021,Single Saturday Night,False,https://i.scdn.co/image/ab67616d0000b2735114081644fbd7ab2cdc8f1e,2020-05-22,https://p.scdn.co/mp3-preview/05e52f26b56170a7ea06b889b8c737c532f95ca6?cid=914d599079cf414bb7441d9c09e8dd1d
95,96,"""Things a Man Oughta Know""",Lainey Wilson,2021,Things A Man Oughta Know,False,https://i.scdn.co/image/ab67616d0000b273f1779a0367d1f4a9a7e3b616,2021-02-19,https://p.scdn.co/mp3-preview/2a36e07154a0ca4d0f174058ca5875a098853e5c?cid=914d599079cf414bb7441d9c09e8dd1d
96,97,"""Throat Baby (Go Baby)""",BRS Kash,2021,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,True,https://i.scdn.co/image/ab67616d0000b273e0411706937b154259b9e90d,2021-01-21,
97,98,"""Tombstone""",Rod Wave,2021,Tombstone,True,https://i.scdn.co/image/ab67616d0000b273362c0f3c4a54d766eb7b654a,2021-03-26,https://p.scdn.co/mp3-preview/103f989eb2b7ca43a4b7ec4bf48782120eaa41df?cid=914d599079cf414bb7441d9c09e8dd1d
98,99,"""Drinkin' Beer. Talkin' God. Amen.""",Chase Rice featuring Florida Georgia Line,2021,Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),False,https://i.scdn.co/image/ab67616d0000b273187e926b562a25e821996bf6,2020-11-30,https://p.scdn.co/mp3-preview/09eeb846e7f7593977465f4fbe2c15d71b4f7104?cid=914d599079cf414bb7441d9c09e8dd1d
99,100,"""Todo de Ti""",Rauw Alejandro,2021,Todo De Ti,True,https://i.scdn.co/image/ab67616d0000b2734801828052a610b910cff795,2021-05-20,https://p.scdn.co/mp3-preview/84c94731a402ce68ef12ef1722aaa84749b79bc6?cid=914d599079cf414bb7441d9c09e8dd1d
100,1,"""Blinding Lights""",The Weeknd,2020,Blinding Lights,False,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20,
101,2,"""Circles""",Post Malone,2020,Circles,False,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,2019-09-06,
102,3,"""The Box""",Roddy Ricch,2020,The Box,True,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,2019-12-06,https://p.scdn.co/mp3-preview/efbcc9db8f3ad5b8fc9b379bbf93f991e47c7358?cid=914d599079cf414bb7441d9c09e8dd1d
103,4,"""Don't Start Now""",Dua Lipa,2020,Don't Start Now,False,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,2020-03-27,https://p.scdn.co/mp3-preview/9c0e91a42d58453a5e53690ea9f33f755339c2a9?cid=914d599079cf414bb7441d9c09e8dd1d
104,5,"""Rockstar""",DaBaby featuring Roddy Ricch,2020,rockstar (feat. 21 Savage),True,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,2018-04-27,
105,6,"""Adore You""",Harry Styles,2020,Adore You,False,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,2019-12-13,https://p.scdn.co/mp3-preview/66131b40a641da2bef484eb00fc1f4f40f2c33c4?cid=914d599079cf414bb7441d9c09e8dd1d
106,7,"""Life Is Good""",Future featuring Drake,2020,Life Is Good (feat. Drake),True,https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402,2020-01-10,https://p.scdn.co/mp3-preview/c5726e26726e1621138f51f3997c942615289177?cid=914d599079cf414bb7441d9c09e8dd1d
107,8,"""Memories""",Maroon 5,2020,Memories,False,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,2021-06-11,
108,9,"""The Bones""",Maren Morris,2020,The Bones,False,https://i.scdn.co/image/ab67616d0000b273f46b5e01e02ab8247be49978,2019-03-08,https://p.scdn.co/mp3-preview/55f9904b26ddbdae4d7505c62e8d7df49252ed5e?cid=914d599079cf414bb7441d9c09e8dd1d
109,10,"""Someone You Loved""",Lewis Capaldi,2020,Someone You Loved,False,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,2019-05-17,
110,11,"""Say So""",Doja Cat,2020,Say So,True,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,2019-11-07,https://p.scdn.co/mp3-preview/3f681c49542f4a1214b33a065cace7007a307465?cid=914d599079cf414bb7441d9c09e8dd1d
