,No.,Title,Artist(s),Year,spo_name,explicit,images,release_date,preview_url,itunes_name,genre,trackTime,trackView
582,83,"""When We Were Young""",Adele,2016,When We Were Young,False,https://i.scdn.co/image/ab67616d0000b2732e88d7f65e6bea2a05202c14,2015-11-20,https://p.scdn.co/mp3-preview/7af11217eccfb267032b8b480d93915f18c64f46?cid=914d599079cf414bb7441d9c09e8dd1d,When We Were Young,Pop,290900,https://music.apple.com/us/album/when-we-were-young/1544494115?i=1544494407&uo=4
583,84,"""Hide Away""",Daya,2016,Hide Away,False,https://i.scdn.co/image/ab67616d0000b2730dafb636aafb59400f5f39ed,2016-10-07,https://p.scdn.co/mp3-preview/1854b3c4ccff7d0fcd06aac0db69502ea3e8413f?cid=914d599079cf414bb7441d9c09e8dd1d,Hideaway,Electronic,251987,https://music.apple.com/us/album/hideaway/1445055019?i=1445055020&uo=4
584,85,"""Lean On""",Major Lazer and DJ Snake featuring MØ,2016,Lean On,False,https://i.scdn.co/image/ab67616d0000b273548910835dbfaf3f79a1dc46,2015-11-27,https://p.scdn.co/mp3-preview/554f717643d8609879a39f0605383d39f60e9484?cid=914d599079cf414bb7441d9c09e8dd1d,Lean On (feat. MØ & DJ Snake),Electronic,176561,https://music.apple.com/us/album/lean-on-feat-m%C3%B8-dj-snake/975442615?i=975443020&uo=4
585,86,"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello,2016,I Know What You Did Last Summer,False,https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb,2015-04-14,,I Know What You Did Last Summer,Horror,6050272,https://itunes.apple.com/us/movie/i-know-what-you-did-last-summer/id277058989?uo=4
586,87,"""All the Way Up""",Fat Joe and Remy Ma featuring French Montana and Infared,2016,All The Way Up,True,https://i.scdn.co/image/91f40b5a93fcd4c30a74fcda4a995bd2aa0ffac2,2016-03-02,https://p.scdn.co/mp3-preview/b912776cfad3a2240cefc9abea7543ba72487e30?cid=914d599079cf414bb7441d9c09e8dd1d,All the Way Up (feat. French Montana & Infared),Hip-Hop/Rap,191942,https://music.apple.com/us/album/all-the-way-up-feat-french-montana-infared/1089053099?i=1089053403&uo=4
587,88,"""Watch Me""",Silentó,2016,Watch Me (Whip / Nae Nae),False,https://i.scdn.co/image/ab67616d0000b2735a5aa346c3d8f54d4762125e,2015-05-04,,Watch Me,Soundtrack,175453,https://music.apple.com/us/album/watch-me/1445849094?i=1445849248&uo=4
588,89,"""Back to Sleep""",Chris Brown,2016,Back To Sleep,True,https://i.scdn.co/image/ab67616d0000b273ff2b8f3e3482f9375ca347e5,2015-12-18,https://p.scdn.co/mp3-preview/51d23be2c475b36154e3f3f5a05282b588a200d7?cid=914d599079cf414bb7441d9c09e8dd1d,Back to Sleep,R&B/Soul,201266,https://music.apple.com/us/album/back-to-sleep/1059869479?i=1059869490&uo=4
589,90,"""No Limit""",Usher featuring Young Thug,2016,No Limit,True,https://i.scdn.co/image/ab67616d0000b273046527a9c176f7c2916f3530,2017-12-15,https://p.scdn.co/mp3-preview/0591d0e11984a4801a496a4d9270e9f89cbd973a?cid=914d599079cf414bb7441d9c09e8dd1d,No Limit (feat. A$AP Rocky & Cardi B),Hip-Hop/Rap,245439,https://music.apple.com/us/album/no-limit-feat-a%24ap-rocky-cardi-b/1308645364?i=1308645432&uo=4
590,91,"""Cut It""",O.T. Genasis featuring Young Dolph,2016,Cut It (feat. Young Dolph),True,https://i.scdn.co/image/ab67616d0000b2737d0faf9840d5be7ad16b6e05,2015-09-25,https://p.scdn.co/mp3-preview/3587d11980950b4cef53b7bbd2ccfec1125935a5?cid=914d599079cf414bb7441d9c09e8dd1d,Cut It (feat. Young Dolph),Hip-Hop/Rap,222600,https://music.apple.com/us/album/cut-it-feat-young-dolph/1041185267?i=1041185276&uo=4
591,92,"""Really Really""",Kevin Gates,2016,Really Really,True,https://i.scdn.co/image/ab67616d0000b2739b78cdf77301fc50d06423b3,2016-01-29,https://p.scdn.co/mp3-preview/603a904972f059e1a67de91a5045347066014683?cid=914d599079cf414bb7441d9c09e8dd1d,Really Really,Hip-Hop/Rap,232090,https://music.apple.com/us/album/really-really/1086223780?i=1086224444&uo=4
592,93,"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap,2016,All In My Head (Flex) (feat. Fetty Wap),False,https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8,2016-05-27,https://p.scdn.co/mp3-preview/4e8f37af78ce18aeda4844762931015deecb87d5?cid=914d599079cf414bb7441d9c09e8dd1d,All In My Head (Flex) [feat. Fetty Wap],Pop,210583,https://music.apple.com/us/album/all-in-my-head-flex-feat-fetty-wap/1087445205?i=1087445220&uo=4
593,94,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,2016,Starving,False,https://i.scdn.co/image/ab67616d0000b2730506a838892be6229dca857b,2016-07-22,,Starving (feat. Zedd),Pop,181838,https://music.apple.com/us/album/starving-feat-zedd/1444891935?i=1444891951&uo=4
594,95,"""Adventure of a Lifetime""",Coldplay,2016,Adventure of a Lifetime,False,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6,2015-12-04,https://p.scdn.co/mp3-preview/ed5d624b7d819b6ad55f7267aeadb1d789d9cc1a?cid=914d599079cf414bb7441d9c09e8dd1d,Adventure of a Lifetime,Alternative,263787,https://music.apple.com/us/album/adventure-of-a-lifetime/1053933969?i=1053934846&uo=4
595,96,"""Humble and Kind""",Tim McGraw,2016,Humble And Kind,False,https://i.scdn.co/image/ab67616d0000b2734e3efb30c7b2e3ac54bf75ba,2015-01-01,,Humble and Kind,Country,260028,https://music.apple.com/us/album/humble-and-kind/1440934953?i=1440935153&uo=4
596,97,"""Wicked""",Future,2016,Wicked Witch,True,https://i.scdn.co/image/ab67616d0000b27304791a385c035c1642c80b8f,2021-12-03,https://p.scdn.co/mp3-preview/7934a7310f17c1c4282405bcc40b9d60d2840b08?cid=914d599079cf414bb7441d9c09e8dd1d,Wicked Future,Dance,214800,https://music.apple.com/us/album/wicked-future/1063228294?i=1063228299&uo=4
597,98,"""Tiimmy Turner""",Desiigner,2016,Tiimmy Turner,True,https://i.scdn.co/image/ab67616d0000b27335243e14634fea3e3cfe3121,2016-07-22,,Tiimmy Turner,Hip-Hop/Rap,239851,https://music.apple.com/us/album/tiimmy-turner/1444854748?i=1444854753&uo=4
598,99,"""See You Again""",Wiz Khalifa featuring Charlie Puth,2016,See You Again (feat. Kali Uchis),True,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,2017-07-21,https://p.scdn.co/mp3-preview/e6c4c9656721fe0a042b61be26adbb57c7032a73?cid=914d599079cf414bb7441d9c09e8dd1d,See You Again (feat. Charlie Puth),Hip-Hop/Rap,229526,https://music.apple.com/us/album/see-you-again-feat-charlie-puth/966411595?i=966411602&uo=4
599,100,"""Perfect""",One Direction,2016,Perfect,False,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,2017-03-03,https://p.scdn.co/mp3-preview/229419b7fe43f4aa963e8ed8eecabc4b87c4958e?cid=914d599079cf414bb7441d9c09e8dd1d,Perfect,Pop,230342,https://music.apple.com/us/album/perfect/1040170924?i=1040171617&uo=4
600,1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,2015,Uptown Funk (feat. Bruno Mars),True,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,2015-01-12,https://p.scdn.co/mp3-preview/afbf5c171d105f72280a844472ac03ac9fd3c5af?cid=914d599079cf414bb7441d9c09e8dd1d,Uptown Funk (feat. Bruno Mars),Pop,262105,https://music.apple.com/us/album/uptown-funk-feat-bruno-mars-trinidad-james-remix/1011384688?i=1011384691&uo=4
601,2,"""Thinking Out Loud""",Ed Sheeran,2015,Thinking out Loud,False,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,2014-06-21,https://p.scdn.co/mp3-preview/f6e44fbb82eda462c977397d1f16e2a4ab05e3f3?cid=914d599079cf414bb7441d9c09e8dd1d,Thinking Out Loud,Pop,281560,https://music.apple.com/us/album/thinking-out-loud/858518077?i=858518134&uo=4
602,3,"""See You Again""",Wiz Khalifa featuring Charlie Puth,2015,See You Again (feat. Kali Uchis),True,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,2017-07-21,https://p.scdn.co/mp3-preview/e6c4c9656721fe0a042b61be26adbb57c7032a73?cid=914d599079cf414bb7441d9c09e8dd1d,See You Again (feat. Charlie Puth),Hip-Hop/Rap,229526,https://music.apple.com/us/album/see-you-again-feat-charlie-puth/966411595?i=966411602&uo=4
603,4,"""Trap Queen""",Fetty Wap,2015,Trap Queen,True,https://i.scdn.co/image/ab67616d0000b273de6bd09b07e2b4af4e409f6c,2015-09-25,https://p.scdn.co/mp3-preview/e60314d664f2e19fe693e30acbcb91b9083a787a?cid=914d599079cf414bb7441d9c09e8dd1d,Trap Queen,Hip-Hop/Rap,222093,https://music.apple.com/us/album/trap-queen/1039537859?i=1039538355&uo=4
604,5,"""Sugar""",Maroon 5,2015,Sugar,True,https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c,2014-09-02,,Sugar,Pop,235514,https://music.apple.com/us/album/sugar/1422651829?i=1422652341&uo=4
605,6,"""Shut Up and Dance""",Walk the Moon,2015,Shut Up and Dance,False,https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3,2014-12-02,https://p.scdn.co/mp3-preview/78558b79e4571208d3bf6e6a80d06e3f23511abd?cid=914d599079cf414bb7441d9c09e8dd1d,Shut Up and Dance (Originally performed by Walk the Moon),Karaoke,210000,https://music.apple.com/us/album/shut-up-and-dance-originally-performed-by-walk-the/980762457?i=980762459&uo=4
606,7,"""Blank Space""",Taylor Swift,2015,Blank Space,False,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2014-10-27,,Blank Space,Pop,231833,https://music.apple.com/us/album/blank-space/1440935467?i=1440935808&uo=4
607,8,"""Watch Me""",Silentó,2015,Watch Me (Whip / Nae Nae),False,https://i.scdn.co/image/ab67616d0000b2735a5aa346c3d8f54d4762125e,2015-05-04,,Watch Me (Whip / Nae Nae),Hip-Hop/Rap,185143,https://music.apple.com/us/album/watch-me-whip-nae-nae/1445036893?i=1445036897&uo=4
608,9,"""Earned It""",The Weeknd,2015,Earned It (Fifty Shades Of Grey),True,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2015-08-28,,Earned It (Fifty Shades of Grey),R&B/Soul,277724,https://music.apple.com/us/album/earned-it-fifty-shades-of-grey/1440826239?i=1440826577&uo=4
609,10,"""The Hills""",The Weeknd,2015,The Hills,True,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2015-08-28,,The Hills,R&B/Soul,242291,https://music.apple.com/us/album/the-hills/1440826239?i=1440826383&uo=4
610,11,"""Cheerleader (Felix Jaehn Remix)""",OMI,2015,Cheerleader - Felix Jaehn Remix Radio Edit,False,https://i.scdn.co/image/ab67616d0000b2731c61cec78c70409b783d1480,2015-10-16,https://p.scdn.co/mp3-preview/24a333a2b52d9ad88e6c9c08f2944091501a4db5?cid=914d599079cf414bb7441d9c09e8dd1d,Cheerleader (Felix Jaehn Remix),Pop/Rock,180993,https://music.apple.com/us/album/cheerleader-felix-jaehn-remix-live-2015/1032825143?i=1032825904&uo=4
611,12,"""Can't Feel My Face""",The Weeknd,2015,Can't Feel My Face,False,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2015-08-28,,Can't Feel My Face,R&B/Soul,213525,https://music.apple.com/us/album/cant-feel-my-face/1440826239?i=1440826389&uo=4
612,13,"""Love Me Like You Do""",Ellie Goulding,2015,Love Me Like You Do,False,https://i.scdn.co/image/ab67616d0000b2736cd9798b6ace10ff98d1abdd,2018-02-09,,Love Me Like You Do,Soundtrack,250267,https://music.apple.com/us/album/love-me-like-you-do/1440845197?i=1440845808&uo=4
613,14,"""Take Me to Church""",Hozier,2015,Take Me to Church,False,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2,2014-09-19,https://p.scdn.co/mp3-preview/88f4fc892ac1521eff9fc297a4d3e47c02b1d28e?cid=914d599079cf414bb7441d9c09e8dd1d,Take Me to Church,Alternative,241688,https://music.apple.com/us/album/take-me-to-church/900672435?i=900672609&uo=4
614,15,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,2015,Bad Blood,False,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2014-10-27,,Bad Blood (feat. Kendrick Lamar),Pop,199773,https://music.apple.com/us/album/bad-blood-feat-kendrick-lamar/1445058696?i=1445059331&uo=4
615,16,"""Lean On""",Major Lazer and DJ Snake featuring MØ,2015,Lean On,False,https://i.scdn.co/image/ab67616d0000b273548910835dbfaf3f79a1dc46,2015-11-27,https://p.scdn.co/mp3-preview/554f717643d8609879a39f0605383d39f60e9484?cid=914d599079cf414bb7441d9c09e8dd1d,Lean On (feat. MØ & DJ Snake),Electronic,176561,https://music.apple.com/us/album/lean-on-feat-m%C3%B8-dj-snake/975442615?i=975443020&uo=4
616,17,"""Want to Want Me""",Jason Derulo,2015,Want to Want Me,False,https://i.scdn.co/image/ab67616d0000b273519241bcfc352fc3eaaac5db,2015-05-29,https://p.scdn.co/mp3-preview/6c0430eefec23224c3e3ff95dfe359533eaba695?cid=914d599079cf414bb7441d9c09e8dd1d,Want to Want Me,Dance,189680,https://music.apple.com/us/album/want-to-want-me-westfunk-remix/1440779680?i=1440779825&uo=4
617,18,"""Shake It Off""",Taylor Swift,2015,Shake It Off,False,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2014-10-27,,Shake It Off,Pop,219209,https://music.apple.com/us/album/shake-it-off/1440935467?i=1440936016&uo=4
618,19,"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber,2015,Where Are Ü Now (with Justin Bieber),False,https://i.scdn.co/image/ab67616d0000b27357fc4730e06c9ab20c1e073b,2015-02-24,https://p.scdn.co/mp3-preview/e0381d8974d0080b3db2456b74431fd8a17ba6e5?cid=914d599079cf414bb7441d9c09e8dd1d,Where Are Ü Now (with Justin Bieber) [feat. Justin Bieber],Dance,250286,https://music.apple.com/us/album/where-are-%C3%BC-now-with-justin-bieber-feat-justin-bieber/971262235?i=971262282&uo=4
619,20,"""Fight Song""",Rachel Platten,2015,Fight Song,False,https://i.scdn.co/image/ab67616d0000b273a9e4d7fae5dfcc8f9cc96bc9,2016-01-01,https://p.scdn.co/mp3-preview/6582e9303ef1c3369f1fb4a6af3a2c1556f69fe7?cid=914d599079cf414bb7441d9c09e8dd1d,Fight Song,Rock,219733,https://music.apple.com/us/album/fight-song/1096928513?i=1096928755&uo=4
620,21,"""679""",Fetty Wap featuring Remy Boyz,2015,679 (feat. Remy Boyz),True,https://i.scdn.co/image/ab67616d0000b2731769fa68b9643ca67c4d44ce,2015-06-29,https://p.scdn.co/mp3-preview/1bfdf966666378a6984063ef0631860e5286d587?cid=914d599079cf414bb7441d9c09e8dd1d,679 (feat. Remy Boyz),Hip-Hop/Rap,196693,https://music.apple.com/us/album/679-feat-remy-boyz/1580405229?i=1580406398&uo=4
621,22,"""Lips Are Movin""",Meghan Trainor,2015,Lips Are Movin,False,https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc,2015-01-09,https://p.scdn.co/mp3-preview/584f1a5dab31376bfed9332eeab037a374e6b339?cid=914d599079cf414bb7441d9c09e8dd1d,Lips Are Movin,Pop,182114,https://music.apple.com/us/album/lips-are-movin/929825574?i=929825624&uo=4
622,23,"""Worth It""",Fifth Harmony featuring Kid Ink,2015,WORTH IT,False,https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0,2022-03-11,https://p.scdn.co/mp3-preview/12292a017e9b9f90ec0f96f706f64ef97d5b0d5b?cid=914d599079cf414bb7441d9c09e8dd1d,Worth It,Pop,224573,https://music.apple.com/us/album/worth-it-feat-kid-ink/909767577?i=909767585&uo=4
623,24,"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko,2015,Post to Be (feat. Chris Brown & Jhene Aiko),True,https://i.scdn.co/image/ab67616d0000b2731fee82228aa487380e1ee1dc,2014-12-02,https://p.scdn.co/mp3-preview/2075c762cab625aeaf0efc322c2e0d773514febe?cid=914d599079cf414bb7441d9c09e8dd1d,Post To Be (feat. Chris Brown & Jhene Aiko),R&B/Soul,226581,https://music.apple.com/us/album/post-to-be-feat-chris-brown-jhene-aiko/942089565?i=942089571&uo=4
624,25,"""Honey, I'm Good.""",Andy Grammer,2015,"Honey, I'm Good.",False,https://i.scdn.co/image/ab67616d0000b27308387bff707fcd5318f0adb0,2014-08-05,https://p.scdn.co/mp3-preview/7ac809611d1ffa0d6daea4b79f54283b788088f0?cid=914d599079cf414bb7441d9c09e8dd1d,"Honey, I'm Good.",Dance,208213,https://music.apple.com/us/album/honey-im-good-mike-d-remix/1440779680?i=1440780117&uo=4
625,26,"""I'm Not the Only One""",Sam Smith,2015,I'm Not The Only One,False,https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae,2014-05-26,,I'm Not the Only One (feat. A$AP Rocky),Pop,223315,https://music.apple.com/us/album/im-not-the-only-one-feat-a%24ap-rocky/1440837455?i=1440838769&uo=4
626,27,"""Good for You""",Selena Gomez featuring ASAP Rocky,2015,Good For You,False,https://i.scdn.co/image/ab67616d0000b273e6f5ed9a9059f686965ba90a,2015-10-09,,Good for You (feat. A$AP Rocky),Pop,221334,https://music.apple.com/us/album/good-for-you-feat-a%24ap-rocky/1440836725?i=1440836811&uo=4
627,28,"""All About That Bass""",Meghan Trainor,2015,All About That Bass,True,https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc,2015-01-09,https://p.scdn.co/mp3-preview/bd6c0e165b80074444e4794ce07d8a416c3fe2dd?cid=914d599079cf414bb7441d9c09e8dd1d,All About That Bass,Pop,191489,https://music.apple.com/us/album/all-about-that-bass/929825574?i=929825615&uo=4
628,29,"""Style""",Taylor Swift,2015,Style,False,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2014-10-27,,I Don't Wanna Live Forever (in the style of Zayn Malik and Taylor Swift),Instrumental,247301,https://music.apple.com/us/album/i-dont-wanna-live-forever-in-the-style-of-zayn/1187455381?i=1187455487&uo=4
629,30,"""Hotline Bling""",Drake,2015,Hotline Bling,False,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,2016-05-06,,Hotline Bling,Hip-Hop/Rap,267024,https://music.apple.com/us/album/hotline-bling/1440842556?i=1440843974&uo=4
630,31,"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",2015,Hey Mama,True,https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2,2005-08-30,,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Pop,238893,https://music.apple.com/us/album/hey-mama-feat-nicki-minaj-bebe-rexha-afrojack-club/1440779680?i=1440779815&uo=4
631,32,"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,2015,G.D.F.R.,False,https://i.scdn.co/image/ab67616d0000b27327de9c0dc148354992731389,2014-12-20,https://p.scdn.co/mp3-preview/a7a3a7917208a6bdc41193492ebb12619327cb50?cid=914d599079cf414bb7441d9c09e8dd1d,G.D.F.R. (feat. Sage the Gemini & Lookas),Pop,223773,https://music.apple.com/us/album/g-d-f-r-feat-sage-the-gemini-lookas-nolaswift-remix/1440779680?i=1440779819&uo=4
632,33,"""What Do You Mean?""",Justin Bieber,2015,What Do You Mean?,False,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,2015-11-13,,"What Do you Mean? - Parody of Justin Bieber's ""What Do You Mean?""",Comedy,170409,https://music.apple.com/us/album/what-do-you-mean-parody-of-justin-biebers-what-do-you-mean/1099363443?i=1099363620&uo=4
633,34,"""Photograph""",Ed Sheeran,2015,Photograph,False,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,2014-06-21,https://p.scdn.co/mp3-preview/34704823c55ae09f26988b106784f884bb781068?cid=914d599079cf414bb7441d9c09e8dd1d,Photograph,Lullabies,294551,https://music.apple.com/us/album/photograph/907917058?i=907917089&uo=4
634,35,"""Hello""",Adele,2015,Hello (feat. A Boogie Wit da Hoodie),True,https://i.scdn.co/image/ab67616d0000b27346e1307c35579c3483ea7b03,2020-07-20,,Hello (Adele),Rock,293135,https://music.apple.com/us/album/hello-adele/1060947053?i=1060947059&uo=4
635,36,"""Stitches""",Shawn Mendes,2015,Stitches,False,https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb,2015-04-14,,Stitches,Rock,207853,https://music.apple.com/us/album/stitches/991459053?i=991459539&uo=4
636,37,"""Talking Body""",Tove Lo,2015,Talking Body,True,https://i.scdn.co/image/ab67616d0000b273d73966976fd29781c3a8dde0,2014-09-24,,Talking Body,Alternative,238427,https://music.apple.com/us/album/talking-body/1472250472?i=1472250602&uo=4
